,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,MAX SCORE,DISMISSAL AGREED,ORIGINAL MSG
587,115,635a845f1ab998280302a2d1,2022-07-20T22:00:00.000Z,Tosin#8012,Lilith,for his amazing work on the responsive designs for TE Academy and for having an eye out for all the design aspects in general 🥰 ✨ ,False,True,False,hanners717#2022,freshelle#9882,Dr. Suga#8514,14.0,21.0,False,for his amazing work on the responsive designs for TE Academy and for having an eye out for all the design aspects in general 🥰 ✨ 
602,1346,635a845f1ab998280302a7a0,2022-08-14T22:00:00.000Z,Amin#2164,MoeNick#1374,who showed up and helps resolve the issue (temporary) ! ,False,True,False,divine_comedian#5493,miguelb#5176,mateodaza#3156,8.67,21.0,False,who showed up and helps resolve the issue (temporary) ! 
614,8,635a845e1ab998280302a266,2022-07-17T22:00:00.000Z,WhyldWanderer#7002,geleeroyale#3228,*as a late edition because I forgot again after community call* for being **THE BEST** and making my time in Barcelona last week unforgettable ❤️ ,False,True,False,cuidadopeligro#4788,miguelb#5176,ClaraZi#5313,9.67,21.0,False,*as a late edition because I forgot again after community call* for being **THE BEST** and making my time in Barcelona last week unforgettable ❤️ 
715,1078,635a845f1ab998280302a694,2022-08-07T22:00:00.000Z,Amin#2164,Lucky_Apricot,and for responding to my questions and explaining the details of the GIVpower implementation ,False,True,False,divine_comedian#5493,miguelb#5176,mateodaza#3156,6.0,13.0,False,and for responding to my questions and explaining the details of the GIVpower implementation 
728,1065,635a845f1ab998280302a687,2022-08-04T22:00:00.000Z,geleeroyale#3228,Giantkin#8403,"and for their encouragement and support with my first project nomination: National Butterfly Center in Mission, Texas. ",True,False,False,cuidadopeligro#4788,Almond | oyealmond#7049,mateodaza#3156,4.5,13.0,False,"and for their encouragement and support with my first project nomination: National Butterfly Center in Mission, Texas. "
843,1227,635a845f1ab998280302a729,2022-08-10T22:00:00.000Z,Cotabe#4096,MoeNick#1374,for being a good friend . ,True,False,False,ClaraZi#5313,freshelle#9882,Dr. Suga#8514,5.33,13.0,False,for being a good friend . 
1080,940,635a845f1ab998280302a60a,2022-08-03T22:00:00.000Z,Giantkin#8403,Cotabe#4096,even though the praise bot doesn't want to take it ,True,False,True,cuidadopeligro#4788,Almond | oyealmond#7049,Nikola Creatrix#5026,1.67,5.0,False,even though the praise bot doesn't want to take it 
1089,1001,635a845f1ab998280302a647,2022-08-03T22:00:00.000Z,Dr. Suga#8514,WhyldWanderer#7002,for joining today ,False,True,False,cuidadopeligro#4788,WhyldWanderer#7002,Nicbals#2154,2.0,5.0,False,for joining today 
1113,494,635a845f1ab998280302a44c,2022-07-27T22:00:00.000Z,Juankbell#7458,geleeroyale#3228,for his great vibes ❤️ ,True,False,False,ClaraZi#5313,miguelb#5176,Dr. Suga#8514,2.5,5.0,False,for his great vibes ❤️ 
1116,1014,635a845f1ab998280302a654,2022-08-03T22:00:00.000Z,Daniel-GPd,WhyldWanderer#7002,for joining today ,False,True,False,divine_comedian#5493,WhyldWanderer#7002,Nicbals#2154,2.0,5.0,False,for joining today 
1125,1022,635a845f1ab998280302a65c,2022-08-03T22:00:00.000Z,Rodricast#1415,WhyldWanderer#7002,for joining today ,False,True,False,cuidadopeligro#4788,WhyldWanderer#7002,Nicbals#2154,2.0,5.0,False,for joining today 
1139,1013,635a845f1ab998280302a653,2022-08-03T22:00:00.000Z,ClaraZi#5313,WhyldWanderer#7002,for joining today ,False,True,False,hanners717#2022,WhyldWanderer#7002,Nikola Creatrix#5026,2.0,5.0,False,for joining today 
1174,1019,635a845f1ab998280302a659,2022-08-03T22:00:00.000Z,missgene#7773,WhyldWanderer#7002,for joining today ,False,True,False,cuidadopeligro#4788,WhyldWanderer#7002,Dr. Suga#8514,1.33,3.0,False,for joining today 
1184,1018,635a845f1ab998280302a658,2022-08-03T22:00:00.000Z,jessveroes,WhyldWanderer#7002,for joining today ,False,True,False,divine_comedian#5493,WhyldWanderer#7002,Dr. Suga#8514,1.33,3.0,False,for joining today 
1245,1006,635a845f1ab998280302a64c,2022-08-03T22:00:00.000Z,cuidadopeligro#4788,WhyldWanderer#7002,for joining today ,False,True,False,divine_comedian#5493,WhyldWanderer#7002,ClaraZi#5313,0.67,1.0,False,for joining today 
1246,1012,635a845f1ab998280302a652,2022-08-03T22:00:00.000Z,bigimot,WhyldWanderer#7002,for joining today ,False,True,False,divine_comedian#5493,WhyldWanderer#7002,mateodaza#3156,0.67,1.0,False,for joining today 
1247,117,635a845f1ab998280302a2d3,2022-07-20T22:00:00.000Z,divine_comedian#5493,Lilith,Just Praise 😄 ,True,True,False,cuidadopeligro#4788,WhyldWanderer#7002,mateodaza#3156,0.33,1.0,False,Just Praise 😄 
1248,1007,635a845f1ab998280302a64d,2022-08-03T22:00:00.000Z,divine_comedian#5493,WhyldWanderer#7002,for joining today ,False,True,False,cuidadopeligro#4788,WhyldWanderer#7002,mateodaza#3156,0.67,1.0,False,for joining today 
1249,1025,635a845f1ab998280302a65f,2022-08-03T22:00:00.000Z,csjoanna#9143,WhyldWanderer#7002,for joining today ,False,True,False,ClaraZi#5313,WhyldWanderer#7002,Dr. Suga#8514,0.67,1.0,False,for joining today 
1250,1027,635a845f1ab998280302a661,2022-08-03T22:00:00.000Z,mateodaza#3156,WhyldWanderer#7002,for joining today ,False,True,False,cuidadopeligro#4788,WhyldWanderer#7002,Dr. Suga#8514,0.67,1.0,False,for joining today 
1251,1021,635a845f1ab998280302a65b,2022-08-03T22:00:00.000Z,MoeShehab#3487,WhyldWanderer#7002,for joining today ,False,True,False,ClaraZi#5313,WhyldWanderer#7002,Nikola Creatrix#5026,0.67,1.0,False,for joining today 
1343,537,635a845f1ab998280302a477,2022-07-27T22:00:00.000Z,WhyldWanderer#7002,Nicbals#2154,for adding Kat to Notion ,True,False,True,cuidadopeligro#4788,miguelb#5176,ClaraZi#5313,0.0,0.0,False,for adding Kat to Notion 
